PO_Number,Supplier,Category,Country,PO_Date,Promised_Delivery,Actual_Delivery,Quantity,Unit_Cost,Total_Cost
PO-0195,Koch Group,Apparel,India,2023-05-26,2023-06-13,2023-06-05,439,229.55,100772.45
PO-0196,Reid-Meadows,Packaging,Germany,2023-06-11,2023-08-12,2023-08-11,96,442.25,42456.0
PO-0197,Wright Ltd,Electronics,Brazil,2023-06-09,2023-07-14,2023-07-28,93,139.69,12991.17
PO-0198,Wright Ltd,Raw Materials,India,2024-11-08,2025-01-16,2025-01-21,289,111.71,32284.19
PO-0199,"Mills, Hayes and Jackson",Electronics,Mexico,2024-06-08,2024-07-07,2024-07-08,704,340.85,239958.4
PO-0200,Elliott and Sons,Electronics,Vietnam,2024-05-13,2024-08-03,2024-08-14,414,492.3,203812.2
PO-0201,Elliott and Sons,Apparel,Vietnam,2023-02-26,2023-03-13,2023-03-09,792,131.48,104132.16
PO-0202,Rose Ltd,Raw Materials,Vietnam,2023-12-02,2024-01-01,2023-12-22,142,193.2,27434.4
PO-0203,Gaines-Olsen,Food & Beverage,China,2024-12-21,2025-02-03,2025-02-09,416,431.57,179533.12
PO-0204,Hawkins Inc,Electronics,Mexico,2023-02-13,2023-04-24,2023-04-14,599,217.5,130282.5
PO-0205,Palmer-Flores,Raw Materials,China,2024-02-19,2024-04-27,2024-04-26,999,165.76,165594.24
PO-0206,Bean-Smith,Electronics,India,2024-09-24,2024-12-06,2024-12-22,874,57.4,50167.6
PO-0207,Koch Group,Electronics,India,2024-03-22,2024-06-20,2024-06-22,901,158.59,142889.59
PO-0208,Solis Inc,Electronics,Germany,2023-12-14,2024-01-26,2024-01-26,658,61.44,40427.52
PO-0209,Bean-Smith,Food & Beverage,Brazil,2024-06-06,2024-07-15,2024-08-02,991,410.38,406686.58
PO-0210,Wright-Fields,Food & Beverage,Vietnam,2023-06-01,2023-07-16,2023-07-09,187,303.19,56696.53
PO-0211,Rose Ltd,Raw Materials,Germany,2024-11-02,2024-11-26,2024-11-21,788,291.84,229969.92
PO-0212,Wright Ltd,Food & Beverage,Brazil,2024-11-28,2025-02-23,2025-03-05,333,79.72,26546.76
PO-0213,Elliott and Sons,Food & Beverage,Germany,2023-03-11,2023-05-25,2023-05-29,67,179.21,12007.07
PO-0214,Hawkins Inc,Electronics,China,2023-03-17,2023-05-10,2023-05-14,387,416.69,161259.03
PO-0215,Wright Ltd,Packaging,India,2023-03-20,2023-04-15,2023-04-24,483,292.26,141161.58
PO-0216,Henry-Lee,Apparel,Mexico,2023-02-12,2023-04-25,2023-05-14,629,240.44,151236.76
PO-0217,Palmer-Flores,Food & Beverage,Brazil,2023-06-04,2023-06-26,2023-06-30,96,254.75,24456.0
PO-0218,Hawkins Inc,Raw Materials,Germany,2023-06-26,2023-07-16,2023-07-13,545,306.85,167233.25
PO-0219,Elliott and Sons,Raw Materials,India,2024-01-08,2024-03-10,2024-03-29,803,172.49,138509.47
PO-0220,Reid-Meadows,Electronics,Mexico,2024-09-04,2024-09-25,2024-10-10,106,281.19,29806.14
PO-0221,Wright Ltd,Apparel,Mexico,2024-01-31,2024-03-22,2024-03-20,93,293.46,27291.78
PO-0222,"James, Hill and Yoder",Apparel,Germany,2023-05-25,2023-07-23,2023-07-22,735,469.31,344942.85
PO-0223,Reid-Meadows,Apparel,Brazil,2023-11-14,2024-02-08,2024-02-10,729,415.33,302775.57
PO-0224,"Mills, Hayes and Jackson",Packaging,Mexico,2024-12-02,2025-02-22,2025-02-14,28,184.49,5165.72
PO-0225,Rose Ltd,Apparel,Vietnam,2023-07-04,2023-08-15,2023-08-15,150,81.7,12255.0
PO-0226,Gaines-Olsen,Packaging,China,2023-10-30,2023-11-26,2023-12-02,687,171.7,117957.9
PO-0227,"James, Hill and Yoder",Apparel,Vietnam,2024-09-24,2024-10-25,2024-11-03,195,416.52,81221.4
PO-0228,Hawkins Inc,Electronics,India,2024-10-01,2024-11-06,2024-11-19,383,339.8,130143.4
PO-0229,Elliott and Sons,Raw Materials,Vietnam,2023-09-01,2023-11-11,2023-11-20,556,123.39,68604.84
PO-0230,Henry-Lee,Raw Materials,India,2024-04-25,2024-06-03,2024-06-04,797,144.48,115150.56
PO-0231,"Mills, Hayes and Jackson",Apparel,Vietnam,2024-01-27,2024-04-15,2024-04-21,830,304.31,252577.3
PO-0232,Rose Ltd,Food & Beverage,Germany,2023-09-14,2023-10-05,2023-10-15,966,55.78,53883.48
PO-0233,Smith-Wood,Apparel,Mexico,2024-06-12,2024-07-12,2024-07-11,470,453.13,212971.1
PO-0234,"Evans, Johnson and Blevins",Raw Materials,Mexico,2023-05-31,2023-08-09,2023-08-01,962,18.2,17508.4
PO-0235,Bean-Smith,Apparel,India,2023-02-24,2023-04-30,2023-05-06,93,190.58,17723.94
PO-0236,Palmer-Flores,Food & Beverage,Vietnam,2023-01-29,2023-03-25,2023-04-13,150,23.96,3594.0
PO-0237,Rose Ltd,Raw Materials,Germany,2024-04-28,2024-05-30,2024-06-13,15,453.4,6801.0
PO-0238,Wright-Fields,Packaging,Brazil,2023-01-20,2023-03-08,2023-03-04,633,266.25,168536.25
PO-0239,Elliott and Sons,Electronics,China,2023-04-24,2023-06-14,2023-06-11,254,212.81,54053.74
PO-0240,Palmer-Flores,Raw Materials,Germany,2024-09-29,2024-12-11,2024-12-03,558,13.14,7332.12
PO-0241,Wright-Fields,Food & Beverage,India,2024-06-11,2024-09-07,2024-09-04,11,309.33,3402.63
